"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 1","BlockAStar","76.809984","12.425984","285.13766169548035","202.78455296429635","1406"
"Map 2","BlockAStar","43.460096","6.950912","289.7757616043091","366.52434342631165","2324"
"Map 3","BlockAStar","176.211968","45.907968","294.8215024471283","399.0447576726084","3600"
"Map 4","BlockAStar","178.182912","41.741056","299.4836982488632","345.91465531845245","3690"
"Map 5","BlockAStar","187.904","39.955968","291.45767521858215","452.17485640451","4545"
"Map 6","BlockAStar","185.005056","36.93312","289.29267489910126","255.91465773328932","2580"
"Map 7","BlockAStar","64.577024","56.815104","288.80958819389343","424.0039340096879","3312"
"Map 8","BlockAStar","61.12384","10.70592","286.28513872623444","258.08944772979316","1396"
"Map 10","BlockAStar","57.637888","17.423872","289.26857900619507","165.9146649777984","3545"
"Map 12","BlockAStar","184.397824","36.772864","289.16587924957275","366.5243458411484","3679"
"Map 13","BlockAStar","65.558016","45.893888","289.0118296146393","292.78455296429667","2353"
"Map 14","BlockAStar","60.268032","12.015104","290.8750468492508","129.04479389515618","4092"
"Map 15","BlockAStar","54.241792","9.950976","292.2761151790619","329.65445785465","3872"
"Map 17","BlockAStar","203.646976","35.753984","286.51463413238525","165.9146577332888","2358"
"Map 18","BlockAStar","60.441856","43.74912","293.93077480793","454.3496029339568","5753"
"Map 19","BlockAStar","190.781952","32.500992","290.41605603694916","165.91468912616372","2853"
"Map 20","BlockAStar","56.39808","8.518912","288.93638384342194","200.60981730161419","3147"
"Map 22","BlockAStar","194.836992","35.955968","290.6423933506012","456.5243410114749","4497"
"Map 23","BlockAStar","193.697792","30.614016","285.13766169548035","129.04475888002628","2393"
"Map 24","BlockAStar","55.780096","10.939904","288.3505973815918","387.13403757126196","3930"
"Map 25","BlockAStar","55.373824","8.61696","287.2272162437439","255.91465290361577","2051"
"Map 26","BlockAStar","53.103104","7.602944","291.48177111148834","562.7845384752776","2766"
"Map 27","BlockAStar","179.397888","34.62912","291.2554337978363","329.65445181755877","2560"
"Map 28","BlockAStar","200.109056","5.121792","288.5014889240265","382.7845493420418","1856"
"Map 30","BlockAStar","47.375104","6.866944","290.79644298553467","419.65445061014077","2838"
"Map 31","BlockAStar","187.22816","34.831104","287.78890681266785","237.4797077029488","3104"
"Map 32","BlockAStar","231.279104","5.733888","288.93638384342194","309.04476370969974","2299"
"Map 33","BlockAStar","236.710912","8.051968","296.5788618326187","362.1748600267644","3289"
"Map 35","BlockAStar","10.792192","238.715136","293.423592209816","585.5689900164379","3724"
"Map 36","BlockAStar","10.72896","249.17376","294.9273602962494","216.87003287669083","5823"
"Map 37","BlockAStar","206.145024","6.062848","286.28513872623444","258.0893958108079","1909"
"Map 38","BlockAStar","230.50496","7.911168","288.121101975441","165.91466256296152","2947"
"Map 40","BlockAStar","10.992896","230.14784","287.5080615282059","311.21950057980064","3272"
"Map 42","BlockAStar","200.49408","42.984192","290.9200805425644","327.47970045843954","5361"
"Map 43","BlockAStar","11.302912","5.043968","286.28513872623444","239.6544481953041","2083"
"Map 44","BlockAStar","181.78816","7.248128","290.69374322891235","438.0893970182264","2859"
"Map 46","BlockAStar","10.923008","231.859968","289.31677079200745","163.73991482609674","2912"
"Map 47","BlockAStar","10.654208","237.336064","289.92981123924255","345.9146577332892","3430"
"Map 48","BlockAStar","10.873856","252.734976","293.32089245319366","401.21950661689164","5136"
"Map 49","BlockAStar","233.13408","16.132096","295.78767585754395","540.0001086676447","6042"
"Map 51","BlockAStar","77.430784","4.915968","286.0556433200836","165.91465652587033","2002"
"Map 52","BlockAStar","10.820096","237.597952","286.0556433200836","165.9146565258707","1991"
"Map 53","BlockAStar","11.01312","6.885888","288.6041886806488","435.9146529036163","2764"
"Map 54","BlockAStar","192.496896","6.483968","294.76699447631836","309.04475284293477","2615"
"Map 55","BlockAStar","81.208064","6.595072","286.7441295385361","165.91465894070726","2699"
"Map 56","BlockAStar","86.480896","15.988992","294.59516513347626","417.4797137400407","6156"
"Map 57","BlockAStar","79.043072","7.467008","289.6248700618744","366.5243506708213","3048"
"Map 58","BlockAStar","83.518976","7.461888","295.3559390306473","530.2641338883262","3100"
"Map 59","BlockAStar","231.84896","8.205056","288.01840221881866","329.654446987886","3111"
"Map 60","BlockAStar","10.743808","246.870016","293.98212468624115","378.435071979586","3501"
"Map 61","BlockAStar","10.938112","233.02912","292.5024524927139","493.39423744990063","3393"
"Map 64","BlockAStar","77.035776","7.213056","288.27199351787567","182.1748648564376","2902"
"Map 65","BlockAStar","78.208768","8.035072","293.5262919664383","255.91467101489002","3418"
"Map 66","BlockAStar","90.232064","9.889024","289.6248700618744","237.47971253262187","3980"
"Map 68","BlockAStar","220.10624","11.755008","289.54626619815826","435.9146480739432","4622"
"Map 69","BlockAStar","89.071872","10.203136","290.083860874176","493.3942446944107","4122"
"Map 70","BlockAStar","82.048768","17.446912","296.8324531316757","486.87001114316246","6587"
"Map 71","BlockAStar","102.259968","8.551936","292.45110261440277","562.7845445123684","3459"
"Map 72","BlockAStar","85.49504","6.163968","295.04783976078033","415.3049527215742","2581"
"Map 73","BlockAStar","247.140096","8.728064","288.3505973815918","258.0894042627355","3418"
"Map 74","BlockAStar","13.344","252.734976","292.7832977771759","306.8700171802536","5012"
"Map 75","BlockAStar","11.195136","258.305024","297.39318013191223","694.0039267651773","7131"
"Map 76","BlockAStar","78.619136","10.796032","289.7275698184967","202.78456141622425","4157"
"Map 77","BlockAStar","80.32","10.853888","290.18656063079834","258.08940667757224","4316"
"Map 78","BlockAStar","110.802944","11.197184","290.618297457695","401.21950299463725","4430"
"Map 79","BlockAStar","87.20384","10.174976","288.5800927877426","165.91466497779842","2880"
"Map 80","BlockAStar","10.692864","240.961024","289.41947054862976","399.0447552577723","3988"
"Map 81","BlockAStar","11.139072","236.27904","287.91570246219635","255.91465411103383","2224"
"Map 82","BlockAStar","10.721024","3.515904","283.99018466472626","165.91465411103434","1385"
"Map 83","BlockAStar","204.619008","3.49696","285.36715710163116","313.3942483166652","1473"
